"104272","0201100092","10","Other","27811","DIT","104272"
"104271","0201100092","20","Carcases of a weight of 180 kg or more but not exceeding 300 kg and half-carcases, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour","104272","DIT","104271"
"104260","0201100092","80","Of bison","104271","DIT","104260"
"104262","0201100094","80","Other","104271","DIT","104262"
"104275","0201100097","10","Other","104272","DIT","104275"
"104273","0201100097","80","Of bison","104275","DIT","104273"
"104274","0201100098","80","Other","104275","DIT","104274"
"27824","0201200000","80","Other cuts with bone in","27810","DIT","27824"
"27835","0201202000","80","'Compensated' quarters","27824","DIT","27835"
"104282","0201202021","10","High quality beef and veal","27835","DIT","104282"
"104280","0201202021","80","Of bison","104282","DIT","104280"
"104281","0201202029","80","Other","104282","DIT","104281"
"104287","0201202092","10","Other","27835","DIT","104287"
"104288","0201202092","20","""Compensated"" quarters, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour","104287","DIT","104288"
"104289","0201202092","80","Of bison","104288","DIT","104289"
"104290","0201202094","80","Other","104288","DIT","104290"
"104294","0201202097","10","Other","104287","DIT","104294"
"104296","0201202097","80","Of bison","104294","DIT","104296"
"104297","0201202098","80","Other","104294","DIT","104297"
"27849","0201203000","80","Unseparated or separated forequarters","27824","DIT","27849"
"104301","0201203021","10","High quality beef and veal","27849","DIT","104301"
"104303","0201203021","80","Of bison","104301","DIT","104303"
"104304","0201203029","80","Other","104301","DIT","104304"
"104362","0201203092","10","Other","27849","DIT","104362"
"104363","0201203092","20","Separated forequarters of a weight of 45 kg or more but not exceeding 75 kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour","104362","DIT","104363"
"104364","0201203092","80","Of bison","104363","DIT","104364"
"104365","0201203094","80","Other","104363","DIT","104365"
"104366","0201203097","10","Other","104362","DIT","104366"
"104368","0201203097","80","Of bison","104366","DIT","104368"
"104367","0201203098","80","Other","104366","DIT","104367"
"27863","0201205000","80","Unseparated or separated hindquarters","27824","DIT","27863"
"104434","0201205021","10","High quality beef and veal","27863","DIT","104434"
"104435","0201205021","80","Of bison","104434","DIT","104435"
