"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
"21649","82596","8504408800","80","Having a power handling capacity exceeding 7,5 kVA","2006-01-01","#NA","82594","8504408400","10"
"21650","82607","8504408810","80","For use in civil aircraft","2006-01-01","#NA","82596","8504408800","80"
"21651","104802","8504408890","80","Other","2019-07-01","#NA","82596","8504408800","80"
"21652","82597","8504409000","80","Other","2006-01-01","#NA","93244","8504408200","10"
"21653","82601","8504409010","80","For use in civil aircraft","2006-01-01","#NA","82597","8504409000","80"
"21654","82600","8504409090","80","Other","2006-01-01","#NA","82597","8504409000","80"
"21655","49735","8504500000","80","Other inductors","1972-01-01","#NA","49682","8504000000","80"
"21656","105149","8504500010","80","For use in civil aircraft","2020-01-01","#NA","49735","8504500000","80"
"21657","105150","8504500090","80","Other","2020-01-01","#NA","49735","8504500000","80"
"21658","49738","8504900000","80","Parts","1972-01-01","#NA","49682","8504000000","80"
"21659","105055","8504901100","10","Of transformers and inductors","2020-01-01","#NA","49738","8504900000","80"
"21660","49740","8504901100","80","Ferrite cores","1972-01-01","#NA","105055","8504901100","10"
"21661","105722","8504901300","80","Steel laminations and cores, whether or not stacked or wound","2021-01-01","#NA","105055","8504901100","10"
"21662","105721","8504901700","80","Other","2021-01-01","#NA","105055","8504901100","10"
"21663","105053","8504909000","80","Of static converters","2020-01-01","#NA","49738","8504900000","80"
"21664","49749","8505000000","80","Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetisation; electromagnetic or permanent magnet chucks, clamps and similar holding devices; electromagnetic couplings, clutches and brakes; electromagnetic lifting heads","1972-01-01","#NA","45855","7224000000","10"
"21665","49750","8505110000","10","Permanent magnets and articles intended to become permanent magnets after magnetisation","1972-01-01","#NA","49749","8505000000","80"
"21666","49751","8505110000","80","Of metal","1972-01-01","#NA","49750","8505110000","10"
"21667","49752","8505110010","80","For use in certain types of aircraft","1972-01-01","#NA","49751","8505110000","80"
"21668","104532","8505110047","10","Other","2019-01-01","#NA","49751","8505110000","80"
"21669","100490","8505110047","80","Articles in the form of a triangle, square or rectangle, whether or not arched or with rounded corners, intended to become permanent magnets after magnetisation, containing neodymium, iron and boron, with the following dimensions:
 
-|a|length of 9|mm or more but not more than 105|mm,
 
-|a width of 5|mm or more but not more than 105|mm, and
 
-|a height of 2|mm or more but not more than 55|mm","2017-01-01","#NA","104532","8505110047","10"
"21670","96965","8505110050","80","Bars specifically shaped, intended to become permanent magnets after magnetization, containing neodymium, iron and boron, with dimensions:<br> <br><br><br>- a length of 15 mm or more but not more than 52 mm,<br> <br><br><br>- a width of 5 mm or more but not more than 42 mm,<br>of a kind to be used in the manufacture of electric servomotors for industrial automation","2013-01-01","#NA","104532","8505110047","10"
"21671","104120","8505110053","80","Permanent magnets of a neodymium alloy cylindrical shaped with notch with internal threaded bore on one side, with<br> <br><br><br>- a length of 97,5 mm or more, but not more than 225 mm<br> <br><br><br>- a diameter of 19 mm or more, but not more than 25 mm<br>","2019-01-01","#NA","104532","8505110047","10"
"21672","103943","8505110063","80","Rings, tubes, bushings or collars made from an alloy of neodymium, iron and boron, with<br><br><br><br>- an external diameter of not more than 45 mm,<br><br><br><br>- a height of not more than 45 mm,<br>of a kind used in the manufacture of permanent magnets after magnetisation","2018-07-01","#NA","104532","8505110047","10"
"21673","103101","8505110065","80","Permanent magnets consisting of an alloy of neodymium, iron and boron, either in the shape of a rectangle, whether or not rounded, with a rectangular or a trapezoidal section having<br> <br><br><br>- a length of not more than 140 mm,<br> <br><br><br>- a width of not more than 90 mm  and<br> <br><br><br>- a thickness of not more than 55 mm,<br>or in the shape of curved rectangle (tile type) having<br> <br><br><br>- a length of not more than 75 mm,<br> <br><br><br>- a width of not more than 40 mm,<br> <br><br><br>- a thickness of not more than 7 mm and<br> <br><br><br>- a radius of curvature of more than 86 mm but not more than 241 mm<br>or in the shape of a disc with a diameter of not more than 90 mm, whether or not containing a hole in the centre","2017-07-01","#NA","104532","8505110047","10"
"21674","104892","8505110068","80","Blocks made of neodymium, iron and boron or an alloy of samarium and cobalt, whether or not covered with zinc, intended to become permanent magnets after magnetisation with:
 
-a length of 13,8 mm or more but not more than 45,2 mm,
 
-a width of 7,8 mm or more but not more than 25,2 mm,
 
-a height of 1,3 mm or more but not more than 4,7 mm,
for use in the manufacture of permanent magnets","2020-01-01","#NA","104532","8505110047","10"
"21675","97905","8505110070","80","Disc consisting of an alloy of neodymium, iron and boron, covered with nickel or zinc, that after magnetisation is intended to become a permanent magnet<br> <br><br><br>- whether or not containing a hole in the centre,<br> <br><br><br>- with a diameter of not more than 90 mm,<br>of a kind used in car loudspeakers","2014-01-01","#NA","104532","8505110047","10"
"21676","105652","8505110073","80","Articles in shape of flat bars, arched bars or quarter sleeves, made of ferrite, or cobalt, or samarium or other rare-earth metals, or their alloy, whether or not overmolded with polymers, intended to become permanent magnets after magnetisation with:
 
-a length of 5 mm or more, but not more than 60 mm,
 
-a width of 5 mm or more, but not more than 40 mm,
 
-a thickness of 3 mm or more, but not more than 15 mm","2021-01-01","#NA","104532","8505110047","10"
"21677","103102","8505110075","80","A quarter sleeve intended to become permanent magnet after magnetization,<br> <br><br><br>- consisting of at least neodymium, iron and boron,<br> <br><br><br>- with a width of 9,1 mm or more but not more than  10,5 mm,<br> <br><br><br>- with a length of 20 mm or more but not more than 30,1 mm,<br>of a kind used on rotors for the manufacture of fuel pumps","2017-07-01","#NA","104532","8505110047","10"
"21678","62890","8505110099","80","Other","1996-01-01","#NA","104532","8505110047","10"
"21679","49754","8505190000","80","Other","1972-01-01","#NA","49750","8505110000","10"
"21680","49755","8505191000","80","Permanent magnets of agglomerated ferrite","1972-01-01","#NA","49754","8505190000","80"
"21681","49756","8505191010","80","For use in certain types of aircraft","1972-01-01","#NA","49755","8505191000","80"
